Event Type and Status Report
Club                  Event Type            Status                Count                 
3000                  Kick Boxing           Cancelled             28                    
3000                  Kick Boxing           Complete              26                    
3000                  Kick Boxing           Pending               29                    
3000                  Personal Training     Cancelled             23                    
3000                  Personal Training     Complete              33                    
3000                  Personal Training     Pending               21                    
3000                  Pilates               Cancelled             29                    
3000                  Pilates               Complete              28                    
3000                  Pilates               Pending               25                    
3000                  Zumba                 Cancelled             31                    
3000                  Zumba                 Complete              27                    
3000                  Zumba                 Pending               15                    
3001                  Kick Boxing           Cancelled             28                    
3001                  Kick Boxing           Complete              26                    
3001                  Kick Boxing           Pending               28                    
3001                  Personal Training     Cancelled             30                    
3001                  Personal Training     Complete              27                    
3001                  Personal Training     Pending               26                    
3001                  Pilates               Cancelled             24                    
3001                  Pilates               Complete              31                    
3001                  Pilates               Pending               20                    
3001                  Zumba                 Cancelled             29                    
3001                  Zumba                 Complete              19                    
3001                  Zumba                 Pending               17                    
3002                  Kick Boxing           Cancelled             27                    
3002                  Kick Boxing           Complete              36                    
3002                  Kick Boxing           Pending               25                    
3002                  Personal Training     Cancelled             23                    
3002                  Personal Training     Complete              24                    
3002                  Personal Training     Pending               26                    
3002                  Pilates               Cancelled             27                    
3002                  Pilates               Complete              28                    
3002                  Pilates               Pending               21                    
3002                  Zumba                 Cancelled             22                    
3002                  Zumba                 Complete              27                    
3002                  Zumba                 Pending               25                    
