Event Type Report
Club                  Event Type            Count                 
Conway                Kick Boxing           476                   
Conway                Personal Training     492                   
Conway                Pilates               443                   
Conway                Zumba                 514                   
Searcy                Kick Boxing           496                   
Searcy                Personal Training     462                   
Searcy                Pilates               477                   
Searcy                Zumba                 468                   
Sherwood              Kick Boxing           463                   
Sherwood              Personal Training     435                   
Sherwood              Pilates               475                   
Sherwood              Zumba                 491                   
